'S	Z
A.	EY
A.'S	EY Z
A.S	EY Z
ABBOUD	AH B UW D
ABRAMS	AH B R AE M Z
ABSCAM	AE B S K AE M
ABSHIRE	AE B SH AY R
ADLER	AE D L ER
ADVERSARIA	AE D V ER S EH R IY AH
AETNA	EH T N AH
AFLATOXIN	AH F L AA T AA K S AH N
AGASSI	AH G AE S IY
AGER	EY JH ER
AGNEW	AE G N Y UW
AIDE	EY D
AINE	EY N
AKERS'S	AH K ER Z IH Z
ALAMOS	AE L AH M OW Z
ALASKAN	AH L AE S K AH N
ALBUQUERQUE	AE L B AH K ER K
ALCOA	AE L K OW AH
ALFONSIN	AE L F AA N S IH N
ALLEGIS	AE L EY JH IH S
ALLEGIS'	AE L EY JH IH S
ALLIS	AE L IH S
ALUMINUM	AH L UW M AH N AH M
ALVIN	AE L V IH N
AM'S	AE M Z
AMERADA	AH M EH R AA D AH
AMES	EY M Z
AMEX	AE M EH K S
AMFAC	AE M F AE K
AMICUS	AH M IY K AH S
AMMAN	AE M AH N
AMOCO	AE M AH K OW
AMOCO'S	AE M AH K OW Z
ANAHEIM	AE N AH HH AY M
ANDO	AA N D OW
ANGELL	EY NG G AH L
ANGLO	AE NG G L OW
ANTONIU	AE N T OW N IY UW
APOLLO	AH P AA L OW
APPARATCHIKS	AE P ER AE CH IH K S
AQUINO	AH K IY N OW
ARBS	AA R B Z
ARDOR	AA R D ER
ARGO	AA R G OW
ARGO'S	AA R G OW Z
ARIANE	AA R IY AE N
ARMORED	AA R M ER D
ARRANGEMEN	ER EY N JH M AH N
ARROYO	ER OY OW
ASEAN	AH Z IY AH N
ASIA	EY ZH AH
ASIA'S	EY ZH AH Z
ASTAIRE	AH S T EH R
ATCOR	AE T K AO R
ATHEROSCLEROSIS	AH TH EH R AH S K L ER OW S AH S
ATKINS'S	AE T K IH N Z IH Z
ATTENDAN	AH T EH N D AH N
AUDI	AO D IY
AUDI'S	AO D IY Z
AUGUS	AO G AH S
AUGUSTE	AA G AH S T
AUSTIN	AO S T AH N
AUTHORITIES'	AH TH AO R AH T IY Z
AYATOLLAH	AY AH T OW L AH
AZIDOTHYMIDINE	AH Z IH D AH TH AY M AH D AY N
B.'S	B IY Z
BACOT	B EY K AE T
