# gunzip -c exp-kaldi-lang/tri4b/decode.si/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp-kaldi-lang/tri4b/graph 
# Started at Thu Jul 27 15:42:52 BST 2017
#
At utterance begin, SIL accounts for 99.8% of phone occurrences, with duration (median, mean, 95-percentile) is (60,69.9,151) frames.
At utterance end, SIL accounts for 91.8% of phone occurrences, with duration (median, mean, 95-percentile) is (53,65.9,170) frames.
At utterance end, nonsilence accounts for 8.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.7,24) frames.
At utterance end, z_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,18) frames.
At utterance end, s_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.7,22) frames.
At utterance end, t_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.4,19) frames.
At utterance end, n_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,13) frames.
Overall, nonsilence accounts for 94.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,16) frames.
Overall, SIL accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (32,44.8,132) frames.
Overall, ih_I accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
Overall, n_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,11) frames.
Overall, ax_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,9) frames.
Overall, t_I accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,12) frames.
Overall, t_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,15) frames.
Overall, z_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,19) frames.
Overall, ax_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,15) frames.
Overall, n_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,17) frames.
Overall, r_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,11) frames.
Overall, l_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
